id,id_kategori,kbli_2_digit_deskripsi,nama_variabel,tahun,jumlah
235,559,Pengolahan Lainnya,Mikro,2014,73274.0
236,559,Pengolahan Lainnya,Kecil,2014,9031.0
237,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2014,113.0
238,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2014,8467.0
239,559,JUMLAH,Mikro,2014,3220563.0
240,559,JUMLAH,Kecil,2014,284501.0
241,559,Makanan,Mikro,2015,1473205.0
242,559,Makanan,Kecil,2015,93814.0
243,559,Minuman,Mikro,2015,45922.0
244,559,Minuman,Kecil,2015,1208.0
245,559,Pengolahan Tembakau,Mikro,2015,43371.0
246,559,Pengolahan Tembakau,Kecil,2015,19750.0
247,559,Tekstil,Kecil,2015,4188.0
248,559,Tekstil,Mikro,2015,127245.0
249,559,Pakaian Jadi,Mikro,2015,360622.0
250,559,Pakaian Jadi,Kecil,2015,46601.0
251,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2015,32136.0
252,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2015,12686.0
253,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2015,19954.0
254,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2015,674970.0
255,559,Kertas dan Barang dari Kertas,Mikro,2015,4633.0
256,559,Kertas dan Barang dari Kertas,Kecil,2015,1096.0
257,559,Pencetakan dan Reproduksi Media Rekaman,Mikro,2015,20025.0
258,559,Pencetakan dan Reproduksi Media Rekaman,Kecil,2015,5330.0
259,559,Bahan Kimia dan Barang dari Bahan Kimia,Mikro,2015,20081.0
260,559,Bahan Kimia dan Barang dari Bahan Kimia,Kecil,2015,1558.0
261,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Mikro,2015,4464.0
262,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Kecil,2015,526.0
263,559,Karet Barang dari Karet dan Plastik,Kecil,2015,492.0
264,559,Karet Barang dari Karet dan Plastik,Mikro,2015,10155.0
265,559,Barang Galian Bukan Logam,Kecil,2015,29758.0
266,559,Barang Galian Bukan Logam,Mikro,2015,234762.0
267,559,Logam Dasar,Kecil,2015,461.0
268,559,Logam Dasar,Mikro,2015,31122.0
269,559,Barang Logam Bukan Mesin dan Peralatannya,Kecil,2015,13990.0
270,559,Barang Logam Bukan Mesin dan Peralatannya,Mikro,2015,99046.0
271,559,Komputer Barang Elektronik dan Optik,Mikro,2015,46.0
272,559,Komputer Barang Elektronik dan Optik,Kecil,2015,260.0
273,559,Peralatan Listrik,Mikro,2015,162.0
274,559,Peralatan Listrik,Kecil,2015,54.0
275,559,Mesin dan Perlengkapan ytdl,Mikro,2015,952.0
276,559,Mesin dan Perlengkapan ytdl,Kecil,2015,258.0
277,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2015,666.0
278,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2015,1700.0
279,559,Alat Angkutan Lainnya,Mikro,2015,4076.0
280,559,Alat Angkutan Lainnya,Kecil,2015,972.0
281,559,Furnitur,Mikro,2015,117901.0
282,559,Furnitur,Kecil,2015,20699.0
283,559,Pengolahan Lainnya,Kecil,2015,8123.0
284,559,Pengolahan Lainnya,Mikro,2015,73002.0
285,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2015,6253.0
286,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2015,578.0
287,559,JUMLAH,Kecil,2015,283022.0
288,559,JUMLAH,Mikro,2015,3385851.0
289,559,Makanan,Mikro,2017,1467095.0
290,559,Makanan,Kecil,2017,71022.0
291,559,Minuman,Kecil,2017,1698.0
292,559,Minuman,Mikro,2017,132568.0
293,559,Pengolahan Tembakau,Kecil,2017,104933.0
294,559,Pengolahan Tembakau,Mikro,2017,80561.0
295,559,Tekstil,Kecil,2017,9042.0
296,559,Tekstil,Mikro,2017,274184.0
297,559,Pakaian Jadi,Kecil,2017,41000.0
298,559,Pakaian Jadi,Mikro,2017,513003.0
299,559,Kulit Barang dari Kulit dan Alas Kaki,Mikro,2017,62415.0
300,559,Kulit Barang dari Kulit dan Alas Kaki,Kecil,2017,13858.0
301,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Mikro,2017,590836.0
302,559,Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya,Kecil,2017,17506.0
303,559,Kertas dan Barang dari Kertas,Kecil,2017,496.0
304,559,Kertas dan Barang dari Kertas,Mikro,2017,6146.0
305,559,Pencetakan dan Reproduksi Media Rekaman,Kecil,2017,7705.0
306,559,Pencetakan dan Reproduksi Media Rekaman,Mikro,2017,37167.0
307,559,Produk dari Batu Bara dan Pengilangan Minyak Bumi,Kecil,2017,0.0
308,559,Produk dari Batu Bara dan Pengilangan Minyak Bumi,Mikro,2017,0.0
309,559,Bahan Kimia dan Barang dari Bahan Kimia,Kecil,2017,1235.0
310,559,Bahan Kimia dan Barang dari Bahan Kimia,Mikro,2017,37566.0
311,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Mikro,2017,15843.0
312,559,Farmasi Produk Obat Kimia dan Obat Tradisional,Kecil,2017,201.0
313,559,Karet Barang dari Karet dan Plastik,Mikro,2017,27737.0
314,559,Karet Barang dari Karet dan Plastik,Kecil,2017,2329.0
315,559,Barang Galian Bukan Logam,Kecil,2017,38222.0
316,559,Barang Galian Bukan Logam,Mikro,2017,287011.0
317,559,Logam Dasar,Kecil,2017,458.0
318,559,Logam Dasar,Mikro,2017,8917.0
319,559,Barang Logam Bukan Mesin dan Peralatannya,Kecil,2017,15720.0
320,559,Barang Logam Bukan Mesin dan Peralatannya,Mikro,2017,168735.0
321,559,Komputer Barang Elektronik dan Optik,Mikro,2017,1049.0
322,559,Komputer Barang Elektronik dan Optik,Kecil,2017,256.0
323,559,Peralatan Listrik,Kecil,2017,246.0
324,559,Peralatan Listrik,Mikro,2017,1085.0
325,559,Mesin dan Perlengkapan ytdl,Kecil,2017,538.0
326,559,Mesin dan Perlengkapan ytdl,Mikro,2017,1728.0
327,559,Kendaraan Bermotor Trailer dan Semi Trailer,Kecil,2017,453.0
328,559,Kendaraan Bermotor Trailer dan Semi Trailer,Mikro,2017,1628.0
329,559,Alat Angkutan Lainnya,Mikro,2017,10379.0
330,559,Alat Angkutan Lainnya,Kecil,2017,590.0
331,559,Furnitur,Kecil,2017,23469.0
332,559,Furnitur,Mikro,2017,157096.0
333,559,Pengolahan Lainnya,Mikro,2017,216745.0
334,559,Pengolahan Lainnya,Kecil,2017,7481.0
335,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Kecil,2017,333.0
336,559,Jasa Reparasi dan Pemasangan Mesin dan Peralatan,Mikro,2017,6403.0
337,559,JUMLAH,Mikro,2017,4105897.0
338,559,JUMLAH,Kecil,2017,358791.0
339,559,Makanan,Kecil,2018,59793.0
